,id,lon,lat,z,type_of_entity,EntityHandle,families,non_family_hhs,parks,groceries,services,eating,bars
0,7P912,-71.08670633969575,42.36423619031807,90.90633636517124,FAMILY_OCCUPANCY,95AF3,True,False,False,False,False,False,False
1,7P913,-71.08667350944278,42.36422353240764,90.90633636517124,FAMILY_OCCUPANCY,95AF4,True,False,False,False,False,False,False
2,7P914,-71.08664067920273,42.36421087448748,90.90633636517124,FAMILY_OCCUPANCY,95AF5,True,False,False,False,False,False,False
3,7P915,-71.08660784897559,42.36419821655761,90.90633636517124,FAMILY_OCCUPANCY,95AF6,True,False,False,False,False,False,False
4,7P916,-71.08657501876137,42.36418555861801,90.90633636517124,FAMILY_OCCUPANCY,95AF7,True,False,False,False,False,False,False
5,7P917,-71.08654218856006,42.3641729006687,90.90633636517124,DUAL__OCCUPANCY,95AF8,False,True,False,False,False,False,False
6,7P918,-71.08650935837166,42.36416024270965,90.90633636517124,DUAL__OCCUPANCY,95AF9,False,True,False,False,False,False,False
7,7P919,-71.08661584808873,42.36406597650458,90.90633636517124,TRIPLE_OCCUPANCY,95AFA,False,True,False,False,False,False,False
8,7P920,-71.08663291657005,42.36404162977088,90.90633636517124,TRIPLE_OCCUPANCY,95AFB,False,True,False,False,False,False,False
9,7P921,-71.08664998503846,42.36401728303482,90.90633636517124,TRIPLE_OCCUPANCY,95AFC,False,True,False,False,False,False,False
10,7P922,-71.08666705349394,42.36399293629643,90.90633636517124,QUAD_OCCUPANCY,95AFD,False,True,False,False,False,False,False
11,7P923,-71.08668412193654,42.36396858955568,90.90633636517124,QUAD_OCCUPANCY,95AFE,False,True,False,False,False,False,False
12,7P924,-71.08670119036618,42.363944242812565,90.90633636517124,QUAD_OCCUPANCY,95AFF,False,True,False,False,False,False,False
13,7P925,-71.08671825878294,42.36391989606712,90.90633636517124,QUAD_OCCUPANCY,95B00,False,True,False,False,False,False,False
14,7P926,-71.08699607439496,42.364058004833815,90.90633636517124,TRIPLE_OCCUPANCY,95B01,False,True,False,False,False,False,False
15,7P927,-71.08696324418136,42.36404534700528,90.90633636517124,TRIPLE_OCCUPANCY,95B02,False,True,False,False,False,False,False
16,7P928,-71.08693041398068,42.36403268916703,90.90633636517124,TRIPLE_OCCUPANCY,95B03,False,True,False,False,False,False,False
17,7P929,-71.08689758379292,42.36402003131904,90.90633636517124,QUAD_OCCUPANCY,95B04,False,True,False,False,False,False,False
18,7P930,-71.08686475361807,42.36400737346134,90.90633636517124,QUAD_OCCUPANCY,95B05,False,True,False,False,False,False,False
19,7P931,-71.08683192345615,42.3639947155939,90.90633636517124,QUAD_OCCUPANCY,95B06,False,True,False,False,False,False,False
20,7P932,-71.08679909330712,42.363982057716754,90.90633636517124,QUAD_OCCUPANCY,95B07,False,True,False,False,False,False,False
21,7P933,-71.08678714447635,42.364298394971264,90.90633636517124,SINGLE_OCCUPANCY,95B08,False,True,False,False,False,False,False
22,7P934,-71.08680421294984,42.36427404821304,90.90633636517124,DUAL__OCCUPANCY,95B09,False,True,False,False,False,False,False
23,7P935,-71.08682128141042,42.36424970145246,90.90633636517124,DUAL__OCCUPANCY,95B0A,False,True,False,False,False,False,False
24,7P936,-71.08683834985808,42.36422535468953,90.90633636517124,SINGLE_OCCUPANCY,95B0B,False,True,False,False,False,False,False
25,7P937,-71.08685541829284,42.36420100792425,90.90633636517124,DUAL__OCCUPANCY,95B0C,False,True,False,False,False,False,False
26,7P938,-71.08687248671467,42.36417666115664,90.90633636517124,DUAL__OCCUPANCY,95B0D,False,True,False,False,False,False,False
27,7P939,-71.08688955512358,42.36415231438668,90.90633636517124,DUAL__OCCUPANCY,95B0E,False,True,False,False,False,False,False
28,7P946,-71.08659877959447,42.36409032323592,90.90633636517124,SINGLE_OCCUPANCY,95B22,False,True,False,False,False,False,False
29,7P947,-71.08690662351958,42.36412796761434,90.90633636517124,DUAL__OCCUPANCY,95B23,False,True,False,False,False,False,False
30,7P948,-71.08622387033101,42.36490677404887,90.90633636517124,FAMILY_OCCUPANCY,96C64,True,False,False,False,False,False,False
31,7P949,-71.08619103981468,42.36489411600712,90.90633636517124,FAMILY_OCCUPANCY,96C65,True,False,False,False,False,False,False
32,7P950,-71.08615820931125,42.36488145795565,90.90633636517124,FAMILY_OCCUPANCY,96C66,True,False,False,False,False,False,False
33,7P951,-71.08612537882074,42.364868799894445,90.90633636517124,FAMILY_OCCUPANCY,96C67,True,False,False,False,False,False,False
34,7P952,-71.08609254834316,42.36485614182351,90.90633636517124,FAMILY_OCCUPANCY,96C68,True,False,False,False,False,False,False
35,7P953,-71.08605971787848,42.36484348374288,90.90633636517124,DUAL__OCCUPANCY,96C69,False,True,False,False,False,False,False
36,7P954,-71.08602688742673,42.36483082565251,90.90633636517124,DUAL__OCCUPANCY,96C6A,False,True,False,False,False,False,False
37,7P955,-71.08613337897677,42.36473655986551,90.90633636517124,TRIPLE_OCCUPANCY,96C6B,False,True,False,False,False,False,False
38,7P956,-71.08615044781871,42.36471221319828,90.90633636517124,TRIPLE_OCCUPANCY,96C6C,False,True,False,False,False,False,False
39,7P957,-71.08616751664772,42.36468786652871,90.90633636517124,TRIPLE_OCCUPANCY,96C6D,False,True,False,False,False,False,False
